country,iso,rating,cds5y,var1m,var6m,pd,date
Germany,DE,AAA,6.88,-1.57%,-5.23%,0.11%,13 Aug
Sweden,SE,AAA,6.91,-3.63%,-14.37%,0.12%,13 Aug
Switzerland,CH,AAA,7.01,+3.70%,-12.27%,0.12%,13 Aug
Netherlands,NL,AAA,7.76,+0.13%,+1.44%,0.13%,13 Aug
Denmark,DK,AAA,7.88,0.00%,-3.90%,0.13%,13 Aug
Finland,FI,AA+,10.88,-4.73%,-9.56%,0.18%,13 Aug
Austria,AT,AA+,10.88,-1.63%,-16.82%,0.18%,13 Aug
Portugal,PT,A+,13.9,-2.87%,-8.91%,0.23%,13 Aug
Ireland,IE,AA+,14.14,-2.75%,-1.05%,0.24%,13 Aug
Australia,AU,AAA,14.59,+5.65%,+11.72%,0.24%,13 Aug
Spain,ES,A+,15.85,-1.67%,-4.23%,0.26%,13 Aug
Belgium,BE,AA-,17.13,-1.72%,+9.88%,0.29%,13 Aug
United Kingdom,GB,AA,18.11,-0.11%,+10.56%,0.30%,13 Aug
South Korea,KR,AA,22.63,0.00%,+2.49%,0.38%,13 Aug
Japan,JP,A+,26.24,-0.83%,+2.34%,0.44%,13 Aug
Greece,GR,BBB,29.39,+1.00%,+8.13%,0.49%,13 Aug
Italy,IT,BBB+,29.78,+1.26%,+24.92%,0.50%,13 Aug
France,FR,A+,30.74,+1.65%,+25.47%,0.51%,13 Aug
United States,US,AA+,34.17,-10.55%,+10.12%,0.57%,13 Aug
China,CN,A+,36.74,-0.30%,-14.93%,0.61%,13 Aug
Canada,CA,AAA,39.6,0.00%,0.00%,0.66%,13 Aug
Israel,IL,A,56.07,-4.27%,-21.46%,0.93%,13 Aug
Mexico,MX,BBB,81.88,-3.52%,-6.64%,1.36%,13 Aug
India,IN,BBB,87.67,0.00%,0.00%,1.46%,13 Aug
Indonesia,ID,BBB,88.06,-1.65%,+9.09%,1.47%,13 Aug
South Africa,ZA,BB,121.65,-1.02%,-11.73%,2.03%,13 Aug
Brazil,BR,BB,123.58,-0.26%,-4.60%,2.06%,13 Aug
Turkey,TR,BB-,224.64,-1.00%,+5.11%,3.74%,13 Aug
Egypt,EG,B,273.34,-3.98%,-8.40%,4.56%,13 Aug
Russia,RU,NR,13775.17,0.00%,0.00%,100.00%,13 Aug
